x	y	cell
2506439.7500	736846.8050	 8.0000
2506695.0200	736668.9280	19.0000
2506887.9800	736534.4660	28.0000
2506909.4200	736519.5260	29.0000
2507101.6000	736385.6120	39.0000
2507120.8200	736372.2200	40.0000
2507159.2600	736345.4370	42.0000
2506465.6200	736800.8240	72.0000
2506601.7000	736707.1030	79.0000
2506690.4100	736664.9990	86.0000
2506697.0400	736659.3970	87.0000
2506697.0900	736650.9700	88.0000
2506880.1200	736521.1600	100.0000
2506893.6400	736521.8160	101.0000
2506903.5100	736516.1880	102.0000
2507065.2900	736386.5030	113.0000
2507103.1300	736360.0670	115.0000
2507122.0800	736346.8220	116.0000
2507160.0800	736319.9830	118.0000
2507178.9500	736306.7920	119.0000
2507198.2100	736293.6940	120.0000
2507408.5100	736147.1660	131.0000
2507524.4000	736091.0000	137.0000
2506332.9000	736865.7390	144.0000
2506352.5400	736852.0500	145.0000
2506590.3200	736690.7370	159.0000
2506602.9500	736685.6010	160.0000
2506660.6400	736664.6710	166.0000
2507013.1400	736395.8450	199.0000
2507048.7000	736374.0290	201.0000
2507066.8800	736361.1810	202.0000
2507160.8200	736293.6630	207.0000
2507200.7800	736267.4390	209.0000
2507219.6000	736254.2560	210.0000
2506327.1200	736844.7500	233.0000
2506394.1200	736798.0710	237.0000
2506678.0900	736647.1910	266.0000
2506873.4200	736506.0020	286.0000
2506960.3800	736414.9160	299.0000
2506992.5300	736390.7410	301.0000
2507010.1600	736376.1380	302.0000
2507029.6200	736364.0760	303.0000
2507047.1800	736351.4690	304.0000
2507064.8100	736338.9480	305.0000
2507118.3000	736301.1650	308.0000
2507204.8900	736240.4140	313.0000
2506441.4900	736747.0410	345.0000
2506894.5700	736454.7090	403.0000
2506954.5700	736397.8320	408.0000
2506984.8600	736374.5100	410.0000
2507013.6500	736353.0470	412.0000
2507030.0000	736340.9960	413.0000
2507046.8200	736328.7810	414.0000
2507063.9100	736316.5100	415.0000
2507098.5700	736291.7910	417.0000
2507116.1100	736279.3670	418.0000
2507133.4300	736266.7510	419.0000
2506949.7500	736380.6820	527.0000
2506978.5900	736357.2200	529.0000
2506994.1300	736345.1890	530.0000
2507010.0400	736333.5300	531.0000
2507026.1300	736321.5350	532.0000
2507042.5300	736309.4490	533.0000
2507059.1400	736297.3390	534.0000
2507339.5500	736099.7350	550.0000
2506403.5000	736735.2500	576.0000
2506591.4600	736653.9620	599.0000
2506706.5100	736544.2770	620.0000
2506716.5500	736536.6660	621.0000
2506890.5400	736420.7740	644.0000
2506932.6300	736374.9350	648.0000
2506945.6700	736363.3830	649.0000
2506959.3200	736351.7320	650.0000
2506988.5400	736328.2030	652.0000
2507003.8200	736316.4740	653.0000
2507019.4900	736304.5990	654.0000
2507051.3400	736280.5720	656.0000
2507101.4000	736244.3730	659.0000
2506391.2800	736726.6040	699.0000
2506639.4800	736619.0940	739.0000
2506871.0100	736426.6010	773.0000
2506928.2000	736358.7360	779.0000
2506940.7900	736347.1680	780.0000
2506981.9800	736312.1030	783.0000
2506997.0400	736300.3860	784.0000
2507012.5000	736288.4680	785.0000
2507046.5800	736262.4720	787.0000
2507095.5900	736226.3030	790.0000
2507128.9400	736202.1970	792.0000
2506333.4600	736742.7810	828.0000
2506380.5200	736718.0200	832.0000
2506555.6500	736650.0210	857.0000
2506703.0000	736521.2380	883.0000
2506874.5500	736402.2590	909.0000
2506921.7400	736344.7840	914.0000
2506933.8600	736333.1760	915.0000
2506976.4200	736295.9130	918.0000
2506990.9400	736284.0560	919.0000
2507005.6900	736272.5440	920.0000
2507018.0000	736260.0260	921.0000
2507032.9000	736251.3670	922.0000
2507048.3000	736239.4900	923.0000
2507096.3400	736203.7380	926.0000
2507112.7200	736191.7680	927.0000
2506366.9200	736711.7170	967.0000
2506693.3200	736516.8790	1019.0000
2506925.3700	736321.0910	1053.0000
2506937.7300	736307.8950	1054.0000
2506963.2100	736286.4230	1056.0000
2506976.8400	736274.7300	1057.0000
2507020.4400	736239.2190	1060.0000
2507035.5900	736227.7330	1061.0000
2507082.4800	736192.2430	1064.0000
2507114.6800	736168.4730	1066.0000
2507299.2900	736037.8330	1077.0000
2506353.3300	736707.2420	1106.0000
2506518.4800	736651.0990	1130.0000
2506524.6500	736650.7180	1131.0000
2506706.2800	736494.2050	1163.0000
2506895.5900	736332.0470	1196.0000
2506906.0000	736320.4410	1197.0000
2506917.1100	736309.0390	1198.0000
2506951.0600	736276.1670	1201.0000
2506964.2600	736264.7500	1202.0000
2506977.9200	736253.0700	1203.0000
2507006.3500	736229.5560	1205.0000
2507021.0600	736217.8010	1206.0000
2507036.0300	736206.1490	1207.0000
2507082.3900	736170.8080	1210.0000
2507280.0500	736029.8720	1222.0000
2506475.3300	736653.7150	1275.0000
2506891.7600	736315.9100	1350.0000
2506902.0900	736304.2190	1351.0000
2506912.8300	736292.4380	1352.0000
2506924.5400	736280.5840	1353.0000
2506936.7600	736269.0770	1354.0000
2506949.3900	736257.3560	1355.0000
2506962.4900	736245.7500	1356.0000
2506975.9900	736234.0560	1357.0000
2506989.8600	736222.3560	1358.0000
2507003.9800	736210.4390	1359.0000
2507018.3500	736198.8240	1360.0000
2507033.3200	736187.2120	1361.0000
2507079.0300	736151.9840	1364.0000
2507258.2600	736021.9980	1375.0000
2506449.5100	736655.0120	1425.0000
2506455.6500	736654.7910	1426.0000
2506461.8500	736654.4620	1427.0000
2506468.5500	736654.4220	1428.0000
2506576.9300	736617.0420	1448.0000
2506664.3000	736510.2910	1466.0000
2506709.7100	736478.9980	1472.0000
2506714.2100	736471.5200	1473.0000
2506888.5000	736298.9450	1505.0000
2506898.6000	736287.3100	1506.0000
2506909.6700	736275.6320	1507.0000
2506921.1300	736263.8850	1508.0000
2506933.1200	736252.2540	1509.0000
2506945.5600	736240.5560	1510.0000
2506958.4500	736228.8590	1511.0000
2506971.7600	736217.1400	1512.0000
2506985.6500	736205.3260	1513.0000
2507000.1900	736191.5870	1514.0000
2507016.5000	736179.7250	1515.0000
2507076.4500	736132.7050	1519.0000
2507107.5000	736109.2740	1521.0000
2507123.2600	736097.5600	1522.0000
2506360.7600	736673.8630	1568.0000
2506393.1100	736662.3070	1573.0000
2506404.6400	736659.1740	1575.0000
2506431.1800	736654.0010	1580.0000
2506437.2700	736654.6880	1581.0000
2506638.8900	736517.3620	1622.0000
2506706.5800	736465.5490	1632.0000
