x	y	cell
2485677.60  706464.46        106
2485682.75  706463.64        107
2485685.87  706467.50        108
2485784.08  706501.19        133
2485786.72  706504.56        134
2485791.39  706503.90        135
2485793.99  706507.23        136
2485798.62  706506.58        137
2485801.18  706509.88        138
2486063.78  706603.19        216
2486119.79  706625.28        231
2485420.94  706359.61        355
2485528.92  706397.06        376
2485532.64  706401.67        377
2485557.57  706407.94        382
2485589.02  706422.89        389
2485684.67  706458.92        411
2485689.71  706458.10        412
2485692.90  706462.02        413
2485763.65  706488.67        431
2485790.52  706496.38        438
2485793.29  706499.82        439
2485797.79  706499.14        440
2485800.53  706502.55        441
2485821.86  706510.58        447
2485826.26  706509.89        448
2486065.10  706599.21        519
2486069.54  706598.42        520
2486198.84  706639.90        550
2485450.87  706360.56        668
2485457.03  706359.51        669
2485477.44  706367.44        673
2485555.58  706397.80        689
2485559.46  706402.43        690
2485564.96  706401.45        691
2485592.62  706412.19        697
2485699.49  706456.43        722
2485739.28  706471.78        732
2485743.84  706470.97        733
2486069.35  706591.65        827
2486132.47  706610.36        843
2486135.24  706613.94        844
2486144.10  706616.64        846
2486162.52  706622.24        850
2486169.01  706621.20        851
2486198.88  706630.06        857
2486265.59  706649.89        869
2485553.93  706387.72        998
2485557.52  706392.29        999
2485563.31  706391.45       1000
2485566.87  706395.98       1001
2485572.61  706395.15       1002
2485576.15  706399.64       1003
2485581.82  706398.81       1004
2485702.70  706446.83       1032
2485742.42  706462.67       1042
2485978.88  706552.42       1105
2485982.55  706554.18       1106
2486140.78  706604.51       1153
2486191.73  706621.60       1164
2486201.96  706624.48       1166
2486268.72  706643.31       1178
2485462.71  706341.19       1290
2485555.30  706381.95       1309
2485560.25  706380.79       1310
2485564.66  706385.72       1311
2485569.56  706384.57       1312
2485573.94  706389.47       1313
2485578.78  706388.32       1314
2485583.13  706393.17       1315
2485587.92  706392.04       1316
2485704.44  706442.02       1343
2485744.04  706458.13       1353
2485756.33  706460.51       1356
2485759.42  706464.33       1357
2485822.26  706487.40       1374
2485825.19  706490.87       1375
2485829.17  706489.34       1376
2485832.55  706492.57       1377
2485836.75  706491.37       1378
2485840.81  706494.39       1379
2485845.33  706492.36       1380
2485982.85  706546.90       1416
2485986.49  706548.72       1417
2486217.88  706615.69       1478
2486221.77  706619.99       1479
2486228.64  706618.41       1480
2485457.76  706328.85       1601
2485462.96  706334.43       1602
2485467.89  706333.04       1603
2485493.01  706346.79       1608
2485560.26  706374.49       1622
2485564.68  706373.17       1623
2485569.56  706378.32       1624
2485573.92  706377.00       1625
2485578.76  706382.12       1626
2485583.08  706380.81       1627
2485587.89  706385.88       1628
2485592.17  706384.58       1629
2485596.95  706389.61       1630
2485601.18  706388.32       1631
2485708.23  706432.74       1656
2485711.14  706436.73       1657
2485824.24  706483.26       1687
2485828.70  706484.39       1688
2485831.70  706481.53       1689
2485835.74  706483.00       1690
2485837.79  706487.11       1691
2485842.12  706486.31       1692
2485845.60  706488.54       1693
2485849.91  706486.52       1694
2485990.44  706543.24       1731
2485990.09  706547.05       1732
2486147.72  706589.76       1776
2486226.75  706608.02       1792
2486231.13  706612.36       1793
2486283.46  706621.28       1802
2485503.48  706337.83       1926
2485564.85  706366.95       1939
2485569.89  706365.94       1940
2485574.08  706370.83       1941
2485579.06  706369.82       1942
2485583.22  706374.68       1943
2485588.17  706373.68       1944
2485592.30  706378.50       1945
2485597.19  706377.50       1946
2485601.29  706382.29       1947
2485710.28  706428.14       1973
2485715.38  706427.51       1974
2485830.99  706476.45       2005
2485835.06  706473.97       2006
2485839.07  706475.97       2007
2485839.04  706479.92       2008
2485842.75  706482.09       2009
2485846.46  706480.44       2010
2485850.13  706482.64       2011
2485857.82  706482.73       2013
2485994.39  706537.74       2049
2485994.03  706541.58       2050
2486164.03  706584.99       2096
2486173.49  706586.98       2098
2486183.16  706589.02       2100
2486228.51  706601.89       2109
2486234.63  706599.94       2110
2486297.00  706617.05       2121
2485425.07  706297.66       2231
2485482.33  706318.74       2242
2485492.20  706322.99       2244
2485511.70  706331.39       2248
2485571.62  706360.40       2261
2485577.53  706359.81       2262
2485580.78  706364.33       2263
2485586.63  706363.74       2264
2485589.86  706368.23       2265
