Discharge values in cfs,Natural Hydrograph,CUFA Altered 150 min flow,CUFA Altered no min flow
Date,Gila-Gila,Gila150,Gila0
10/1/1936,92,92,92
10/2/1936,79,79,79
10/3/1936,72,72,72
10/4/1936,66,66,66
10/5/1936,63,63,63
10/6/1936,58,58,58
10/7/1936,56,56,56
10/8/1936,56,56,56
10/9/1936,56,56,56
10/10/1936,54,54,54
10/11/1936,53,53,53
10/12/1936,50,50,50
10/13/1936,50,50,50
10/14/1936,50,50,50
10/15/1936,50,50,50
10/16/1936,49,49,49
10/17/1936,49,49,49
10/18/1936,49,49,49
10/19/1936,48,48,48
10/20/1936,48,48,48
10/21/1936,49,49,49
10/22/1936,50,50,50
10/23/1936,50,50,50
10/24/1936,57,57,57
10/25/1936,69,69,69
10/26/1936,63,63,63
10/27/1936,58,58,58
10/28/1936,57,57,57
10/29/1936,54,54,54
10/30/1936,60,60,60
10/31/1936,68,68,68
11/1/1936,64,64,45.2
11/2/1936,66,66,58.4
11/3/1936,64,64,64
11/4/1936,64,64,64
11/5/1936,64,64,64
11/6/1936,63,63,63
11/7/1936,62,62,62
11/8/1936,62,62,62
11/9/1936,60,60,60
11/10/1936,58,58,58
11/11/1936,60,60,60
11/12/1936,58,58,58
11/13/1936,58,58,58
11/14/1936,60,60,60
11/15/1936,62,62,62
11/16/1936,60,60,60
11/17/1936,60,60,60
11/18/1936,58,58,58
11/19/1936,60,60,60
11/20/1936,63,63,63
11/21/1936,66,66,60.8
11/22/1936,76,76,42
11/23/1936,81,81,13.4
11/24/1936,88,88,13.2
11/25/1936,92,92,0
11/26/1936,92,92,41.2
11/27/1936,86,86,49.6
11/28/1936,90,90,64.8
11/29/1936,92,92,65.2
11/30/1936,90,90,25.6
12/1/1936,90,90,0
12/2/1936,86,86,0
12/3/1936,84,84,0
12/4/1936,83,83,4.2
12/5/1936,86,86,12
12/6/1936,84,84,7.6
12/7/1936,79,79,3.4
12/8/1936,71,71,3.4
12/9/1936,71,71,13.8
12/10/1936,69,69,15
12/11/1936,68,68,12.4
12/12/1936,64,64,10.8
12/13/1936,62,62,13.6
12/14/1936,64,64,17.2
12/15/1936,68,68,22
12/16/1936,71,71,21
12/17/1936,74,74,21.6
12/18/1936,72,72,15.6
12/19/1936,69,69,14.2
12/20/1936,69,69,18.2
12/21/1936,69,69,18.2
12/22/1936,69,69,18.2
12/23/1936,69,69,16.6
12/24/1936,69,69,16.6
12/25/1936,72,72,19.6
12/26/1936,79,79,22.6
12/27/1936,78,78,7.2
12/28/1936,72,72,0
12/29/1936,76,76,7.6
12/30/1936,86,86,16.8
12/31/1936,72,72,0
1/1/1937,72,72,72
1/2/1937,72,72,72
1/3/1937,64,64,64
1/4/1937,60,60,60
1/5/1937,57,57,57
1/6/1937,58,58,58
1/7/1937,66,66,66
1/8/1937,71,71,71
1/9/1937,69,69,69
1/10/1937,66,66,66
1/11/1937,62,62,62
1/12/1937,64,64,18
1/13/1937,92,92,38.8
1/14/1937,101,101,0
1/15/1937,88,88,0
1/16/1937,81,81,0
1/17/1937,81,81,0
1/18/1937,81,81,0
1/19/1937,79,79,0
1/20/1937,81,81,2.2
1/21/1937,81,81,2.2
1/22/1937,78,78,0
1/23/1937,69,69,0
1/24/1937,68,68,10.8
1/25/1937,69,69,14.2
1/26/1937,68,68,10.8
1/27/1937,66,66,9.6
1/28/1937,66,66,12.8
1/29/1937,69,69,15.8
1/30/1937,71,71,15.4
1/31/1937,72,72,10.8
2/1/1937,71,71,51.4
2/2/1937,72,72,50.8
2/3/1937,74,74,52.8
2/4/1937,72,72,49.2
2/5/1937,72,72,50
2/6/1937,74,74,49.6
2/7/1937,409,409,376.6
2/8/1937,2300,1950,1950
2/9/1937,815,465,465
2/10/1937,450,208,100
2/11/1937,300,150,0
2/12/1937,240,150,0
2/13/1937,210,150,0
2/14/1937,188,150,0
2/15/1937,295,274.6,124.6
2/16/1937,3400,3284.4,3134.4
2/17/1937,2700,2350,2350
2/18/1937,1500,1150,1150
2/19/1937,1000,650,650
2/20/1937,760,410,410
2/21/1937,620,270,270
2/22/1937,513,163,163
2/23/1937,474,150,124
2/24/1937,526,176,176
2/25/1937,610,260,260
2/26/1937,610,260,260
2/27/1937,509,159,159
2/28/1937,417,150,67
3/1/1937,383,150,33
3/2/1937,379,160.6,29
3/3/1937,402,193.2,52
3/4/1937,429,195.4,79
3/5/1937,379,150,29
3/6/1937,332,150,0
3/7/1937,346,189.2,39.2
3/8/1937,509,372.2,222.2
3/9/1937,760,484.8,410
3/10/1937,935,585,585
3/11/1937,1000,650,650
3/12/1937,1030,680,680
3/13/1937,935,585,585
3/14/1937,875,525,525
3/15/1937,905,555,555
3/16/1937,875,525,525
3/17/1937,3130,2780,2780
3/18/1937,2480,2130,2130
3/19/1937,1600,1250,1250
3/20/1937,1100,750,750
3/21/1937,875,525,525
3/22/1937,760,410,410
3/23/1937,732,382,382
3/24/1937,675,325,325
3/25/1937,605,255,255
3/26/1937,558,208,208
3/27/1937,513,163,163
3/28/1937,462,150,112
3/29/1937,437,150,87
3/30/1937,417,150,67
3/31/1937,383,150,33
4/1/1937,372,219.2,69.2
4/2/1937,386,252.4,102.4
4/3/1937,429,270.6,120.6
4/4/1937,470,242,120
4/5/1937,450,150,100
4/6/1937,417,150,67
4/7/1937,406,183.6,56
4/8/1937,413,206.6,63
4/9/1937,410,198,60
4/10/1937,410,207.6,60
4/11/1937,413,203.4,63
4/12/1937,433,209.8,83
4/13/1937,454,196.4,104
4/14/1937,466,165.2,116
4/15/1937,474,150,124
4/16/1937,504,164,154
4/17/1937,540,190,190
4/18/1937,531,181,181
4/19/1937,496,150,146
4/20/1937,474,150,124
4/21/1937,470,157.2,120
4/22/1937,433,150,83
4/23/1937,394,180.4,44
4/24/1937,353,194.6,44.6
4/25/1937,336,234.4,84.4
4/26/1937,322,268.4,118.4
4/27/1937,273,262.6,112.6
4/28/1937,212,212,106.8
4/29/1937,209,209,164.6
4/30/1937,206,206,169.6
5/1/1937,186,186,169.125
5/2/1937,171,171,171
5/3/1937,161,161,161
5/4/1937,163,163,163
5/5/1937,190,190,190
5/6/1937,225,225,225
5/7/1937,231,231,199.875
5/8/1937,206,206,171.875
5/9/1937,201,201,198.375
5/10/1937,214,214,214
