# ---------------------------------- WARNING ----------------------------------------				
# The data you have obtained from this automated U.S. Geological Survey database				
# have not received Director's approval and as such are provisional and subject to				
# revision.  The data are released on the condition that neither the USGS nor the				
# United States Government may be held liable for any damages resulting from its use.				
# Additional info: http://waterdata.usgs.gov/nwis/?provisional				
#				
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info				
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info				
#				
# Contact:   gs-w_support_nwisweb@usgs.gov				
# retrieved: 2014-01-01 13:55:38 EST       (vaww02)				
#				
# Data for the following 1 site(s) are contained in this file				
#    USGS 11251000 SAN JOAQUIN R BL FRIANT CA				
# -----------------------------------------------------------------------------------				
#				
# Data provided for site 11251000				
#    DD parameter statistic   Description				
"#    01   00060     00003     Discharge, cubic feet per second (Mean)"				
#				
# Data-value qualification codes included in this output: 				
#     A  Approved for publication -- Processing and review completed.  				
#     P  Provisional data subject to revision.  				
#     e  Value has been estimated.  				
# 				
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11251000	1943-01-01	1270	A
USGS	11251000	1943-01-02	932	A
USGS	11251000	1943-01-03	960	A
USGS	11251000	1943-01-04	814	A
USGS	11251000	1943-01-05	918	A
USGS	11251000	1943-01-06	1020	A
USGS	11251000	1943-01-07	1120	A
USGS	11251000	1943-01-08	1020	A
USGS	11251000	1943-01-09	984	A
USGS	11251000	1943-01-10	890	A
USGS	11251000	1943-01-11	724	A
USGS	11251000	1943-01-12	939	A
USGS	11251000	1943-01-13	904	A
USGS	11251000	1943-01-14	918	A
USGS	11251000	1943-01-15	932	A
USGS	11251000	1943-01-16	939	A
USGS	11251000	1943-01-17	808	A
USGS	11251000	1943-01-18	612	A
USGS	11251000	1943-01-19	688	A
USGS	11251000	1943-01-20	742	A
USGS	11251000	1943-01-21	1660	A
USGS	11251000	1943-01-22	10200	A
USGS	11251000	1943-01-23	11000	A
USGS	11251000	1943-01-24	10600	A
USGS	11251000	1943-01-25	8620	A
USGS	11251000	1943-01-26	6050	A
USGS	11251000	1943-01-27	4150	A
USGS	11251000	1943-01-28	3280	A
USGS	11251000	1943-01-29	2860	A
USGS	11251000	1943-01-30	3200	A
USGS	11251000	1943-01-31	4140	A
USGS	11251000	1943-02-01	3070	A
USGS	11251000	1943-02-02	2890	A
USGS	11251000	1943-02-03	2650	A
USGS	11251000	1943-02-04	2400	A
USGS	11251000	1943-02-05	2320	A
USGS	11251000	1943-02-06	2260	A
USGS	11251000	1943-02-07	2200	A
USGS	11251000	1943-02-08	2330	A
USGS	11251000	1943-02-09	2580	A
USGS	11251000	1943-02-10	2460	A
USGS	11251000	1943-02-11	2320	A
USGS	11251000	1943-02-12	2350	A
USGS	11251000	1943-02-13	2310	A
USGS	11251000	1943-02-14	2310	A
USGS	11251000	1943-02-15	2240	A
USGS	11251000	1943-02-16	2260	A
USGS	11251000	1943-02-17	2410	A
USGS	11251000	1943-02-18	2350	A
USGS	11251000	1943-02-19	2410	A
USGS	11251000	1943-02-20	2480	A
USGS	11251000	1943-02-21	2700	A
USGS	11251000	1943-02-22	2690	A
USGS	11251000	1943-02-23	3260	A
USGS	11251000	1943-02-24	3280	A
USGS	11251000	1943-02-25	3190	A
USGS	11251000	1943-02-26	2950	A
USGS	11251000	1943-02-27	2760	A
USGS	11251000	1943-02-28	2610	A
USGS	11251000	1943-03-01	2280	A
USGS	11251000	1943-03-02	2400	A
USGS	11251000	1943-03-03	2500	A
USGS	11251000	1943-03-04	2350	A
USGS	11251000	1943-03-05	2690	A
USGS	11251000	1943-03-06	4000	A
USGS	11251000	1943-03-07	3970	A
USGS	11251000	1943-03-08	3360	A
USGS	11251000	1943-03-09	5380	A
USGS	11251000	1943-03-10	7990	A
USGS	11251000	1943-03-11	8800	A
USGS	11251000	1943-03-12	7630	A
USGS	11251000	1943-03-13	6620	A
USGS	11251000	1943-03-14	6020	A
USGS	11251000	1943-03-15	4790	A
USGS	11251000	1943-03-16	4280	A
USGS	11251000	1943-03-17	4150	A
USGS	11251000	1943-03-18	5890	A
USGS	11251000	1943-03-19	5770	A
USGS	11251000	1943-03-20	4700	A
USGS	11251000	1943-03-21	4260	A
USGS	11251000	1943-03-22	3920	A
USGS	11251000	1943-03-23	4000	A
USGS	11251000	1943-03-24	3790	A
USGS	11251000	1943-03-25	3700	A
USGS	11251000	1943-03-26	3790	A
USGS	11251000	1943-03-27	3890	A
USGS	11251000	1943-03-28	4180	A
USGS	11251000	1943-03-29	4360	A
USGS	11251000	1943-03-30	4700	A
USGS	11251000	1943-03-31	4520	A
USGS	11251000	1943-04-01	4220	A
USGS	11251000	1943-04-02	4230	A
USGS	11251000	1943-04-03	4420	A
USGS	11251000	1943-04-04	4490	A
USGS	11251000	1943-04-05	4540	A
USGS	11251000	1943-04-06	4620	A
USGS	11251000	1943-04-07	4360	A
USGS	11251000	1943-04-08	4480	A
USGS	11251000	1943-04-09	4930	A
USGS	11251000	1943-04-10	4450	A
USGS	11251000	1943-04-11	4000	A
USGS	11251000	1943-04-12	3680	A
USGS	11251000	1943-04-13	3720	A
USGS	11251000	1943-04-14	3980	A
USGS	11251000	1943-04-15	4800	A
USGS	11251000	1943-04-16	5410	A
USGS	11251000	1943-04-17	5250	A
USGS	11251000	1943-04-18	5820	A
USGS	11251000	1943-04-19	5120	A
USGS	11251000	1943-04-20	5340	A
USGS	11251000	1943-04-21	5170	A
USGS	11251000	1943-04-22	5650	A
USGS	11251000	1943-04-23	5970	A
USGS	11251000	1943-04-24	6160	A
USGS	11251000	1943-04-25	6080	A
USGS	11251000	1943-04-26	5320	A
USGS	11251000	1943-04-27	5050	A
USGS	11251000	1943-04-28	6220	A
USGS	11251000	1943-04-29	7870	A
USGS	11251000	1943-04-30	7140	A
USGS	11251000	1943-05-01	6500	A
USGS	11251000	1943-05-02	7320	A
USGS	11251000	1943-05-03	6350	A
USGS	11251000	1943-05-04	6400	A
USGS	11251000	1943-05-05	6400	A
USGS	11251000	1943-05-06	6400	A
USGS	11251000	1943-05-07	6910	A
USGS	11251000	1943-05-08	7200	A
USGS	11251000	1943-05-09	6460	A
USGS	11251000	1943-05-10	6030	A
USGS	11251000	1943-05-11	6160	A
USGS	11251000	1943-05-12	6180	A
USGS	11251000	1943-05-13	6000	A
USGS	11251000	1943-05-14	5460	A
USGS	11251000	1943-05-15	4830	A
USGS	11251000	1943-05-16	4480	A
USGS	11251000	1943-05-17	4150	A
USGS	11251000	1943-05-18	4020	A
USGS	11251000	1943-05-19	3780	A
USGS	11251000	1943-05-20	4010	A
USGS	11251000	1943-05-21	4260	A
USGS	11251000	1943-05-22	4800	A
USGS	11251000	1943-05-23	5740	A
USGS	11251000	1943-05-24	6210	A
USGS	11251000	1943-05-25	7200	A
USGS	11251000	1943-05-26	7810	A
USGS	11251000	1943-05-27	8350	A
USGS	11251000	1943-05-28	8660	A
USGS	11251000	1943-05-29	8660	A
USGS	11251000	1943-05-30	8290	A
USGS	11251000	1943-05-31	7530	A
USGS	11251000	1943-06-01	7320	A
USGS	11251000	1943-06-02	8390	A
USGS	11251000	1943-06-03	7580	A
USGS	11251000	1943-06-04	6580	A
USGS	11251000	1943-06-05	5110	A
USGS	11251000	1943-06-06	4200	A
USGS	11251000	1943-06-07	3920	A
USGS	11251000	1943-06-08	4150	A
USGS	11251000	1943-06-09	4570	A
USGS	11251000	1943-06-10	4820	A
USGS	11251000	1943-06-11	4940	A
USGS	11251000	1943-06-12	4940	A
USGS	11251000	1943-06-13	4490	A
USGS	11251000	1943-06-14	4100	A
USGS	11251000	1943-06-15	4070	A
USGS	11251000	1943-06-16	4230	A
USGS	11251000	1943-06-17	4620	A
USGS	11251000	1943-06-18	5340	A
USGS	11251000	1943-06-19	5460	A
USGS	11251000	1943-06-20	5120	A
USGS	11251000	1943-06-21	4820	A
USGS	11251000	1943-06-22	4560	A
USGS	11251000	1943-06-23	3940	A
USGS	11251000	1943-06-24	3490	A
USGS	11251000	1943-06-25	3240	A
USGS	11251000	1943-06-26	3080	A
USGS	11251000	1943-06-27	3000	A
USGS	11251000	1943-06-28	3040	A
USGS	11251000	1943-06-29	3170	A
USGS	11251000	1943-06-30	3280	A
USGS	11251000	1943-07-01	3240	A
USGS	11251000	1943-07-02	3190	A
USGS	11251000	1943-07-03	3100	A
USGS	11251000	1943-07-04	3010	A
USGS	11251000	1943-07-05	2890	A
USGS	11251000	1943-07-06	2950	A
USGS	11251000	1943-07-07	3220	A
USGS	11251000	1943-07-08	3190	A
USGS	11251000	1943-07-09	3040	A
USGS	11251000	1943-07-10	2930	A
USGS	11251000	1943-07-11	2650	A
USGS	11251000	1943-07-12	2670	A
USGS	11251000	1943-07-13	2670	A
USGS	11251000	1943-07-14	2620	A
USGS	11251000	1943-07-15	2520	A
USGS	11251000	1943-07-16	2460	A
USGS	11251000	1943-07-17	2400	A
USGS	11251000	1943-07-18	2220	A
USGS	11251000	1943-07-19	2070	A
USGS	11251000	1943-07-20	2060	A
USGS	11251000	1943-07-21	2070	A
USGS	11251000	1943-07-22	2020	A
USGS	11251000	1943-07-23	2050	A
USGS	11251000	1943-07-24	1990	A
USGS	11251000	1943-07-25	2000	A
USGS	11251000	1943-07-26	1910	A
USGS	11251000	1943-07-27	1980	A
USGS	11251000	1943-07-28	2000	A
USGS	11251000	1943-07-29	2010	A
USGS	11251000	1943-07-30	1970	A
USGS	11251000	1943-07-31	1890	A
USGS	11251000	1943-08-01	1900	A
USGS	11251000	1943-08-02	1820	A
USGS	11251000	1943-08-03	1740	A
USGS	11251000	1943-08-04	1630	A
USGS	11251000	1943-08-05	1610	A
USGS	11251000	1943-08-06	1690	A
USGS	11251000	1943-08-07	1710	A
USGS	11251000	1943-08-08	1710	A
USGS	11251000	1943-08-09	1710	A
USGS	11251000	1943-08-10	1710	A
USGS	11251000	1943-08-11	1710	A
USGS	11251000	1943-08-12	1710	A
USGS	11251000	1943-08-13	1650	A
USGS	11251000	1943-08-14	1630	A
USGS	11251000	1943-08-15	1610	A
USGS	11251000	1943-08-16	1600	A
USGS	11251000	1943-08-17	1590	A
USGS	11251000	1943-08-18	1580	A
USGS	11251000	1943-08-19	1540	A
USGS	11251000	1943-08-20	1510	A
USGS	11251000	1943-08-21	1510	A
USGS	11251000	1943-08-22	1510	A
USGS	11251000	1943-08-23	1510	A
USGS	11251000	1943-08-24	1460	A
USGS	11251000	1943-08-25	1420	A
USGS	11251000	1943-08-26	1400	A
USGS	11251000	1943-08-27	1390	A
USGS	11251000	1943-08-28	1400	A
