# ---------------------------------- WARNING ----------------------------------------				
# The data you have obtained from this automated U.S. Geological Survey database				
# have not received Director's approval and as such are provisional and subject to				
# revision.  The data are released on the condition that neither the USGS nor the				
# United States Government may be held liable for any damages resulting from its use.				
# Additional info: http://waterdata.usgs.gov/nwis/?provisional				
#				
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info				
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info				
#				
# Contact:   gs-w_support_nwisweb@usgs.gov				
# retrieved: 2014-01-01 13:55:38 EST       (vaww02)				
#				
# Data for the following 1 site(s) are contained in this file				
#    USGS 11251000 SAN JOAQUIN R BL FRIANT CA				
# -----------------------------------------------------------------------------------				
#				
# Data provided for site 11251000				
#    DD parameter statistic   Description				
"#    01   00060     00003     Discharge, cubic feet per second (Mean)"				
#				
# Data-value qualification codes included in this output: 				
#     A  Approved for publication -- Processing and review completed.  				
#     P  Provisional data subject to revision.  				
#     e  Value has been estimated.  				
# 				
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11251000	1907-10-01	450	A
USGS	11251000	1907-10-02	450	A
USGS	11251000	1907-10-03	450	A
USGS	11251000	1907-10-04	450	A
USGS	11251000	1907-10-05	450	A
USGS	11251000	1907-10-06	450	A
USGS	11251000	1907-10-07	450	A
USGS	11251000	1907-10-08	450	A
USGS	11251000	1907-10-09	450	A
USGS	11251000	1907-10-10	450	A
USGS	11251000	1907-10-11	450	A
USGS	11251000	1907-10-12	450	A
USGS	11251000	1907-10-13	450	A
USGS	11251000	1907-10-14	450	A
USGS	11251000	1907-10-15	450	A
USGS	11251000	1907-10-16	450	A
USGS	11251000	1907-10-17	450	A
USGS	11251000	1907-10-18	490	A
USGS	11251000	1907-10-19	490	A
USGS	11251000	1907-10-20	490	A
USGS	11251000	1907-10-21	490	A
USGS	11251000	1907-10-22	490	A
USGS	11251000	1907-10-23	580	A
USGS	11251000	1907-10-24	580	A
USGS	11251000	1907-10-25	680	A
USGS	11251000	1907-10-26	630	A
USGS	11251000	1907-10-27	780	A
USGS	11251000	1907-10-28	980	A
USGS	11251000	1907-10-29	980	A
USGS	11251000	1907-10-30	880	A
USGS	11251000	1907-10-31	880	A
USGS	11251000	1907-11-01	780	A
USGS	11251000	1907-11-02	780	A
