cell,mean_prob
367,0.001178624
492,0.001165984
655,0.000824496
749,0.001485014
779,0.001325832
818,0.000811781
1061,0.000824741
1597,0.001678616
1624,0.001003284
1810,0.001323893
1827,0.001663633
1922,0.001326431
2136,0.001003429
2165,0.000814948
2290,0.001474684
2330,0.000812373
2380,0.000824061
2383,0.001163612
2412,0.001651169
2413,0.000798394
2414,0.001501733
2416,0.00166555
2437,0.000988496
2452,0.001001954
2453,0.000815353
2469,0.001163069
2543,0.001180591
2559,0.001666248
2626,0.001163279
2641,0.001176699
2652,0.000975071
2682,0.001167236
2684,0.001001929
2699,0.001174149
2704,0.000814426
2711,0.00149989
2900,0.001300285
2901,0.001169169
2902,0.001003567
2903,0.001164289
2904,0.000985898
2905,0.001327038
2925,0.000824192
2964,0.001488906
2969,0.001326355
2988,0.000811502
3131,0.000814492
3216,0.001174888
3217,0.001479708
3218,0.001488834
3220,0.001167337
3221,0.001002197
3231,0.001161975
3255,0.001474995
3272,0.001178544
3363,0.000811581
3431,0.000823961
3478,0.001457215
3480,0.0010018
3481,0.001328377
3482,0.001004447
3483,0.000977317
3486,0.001501643
3677,0.001501164
3736,0.001325738
3738,0.001176725
3748,0.001177251
3876,0.000824503
4000,0.001324892
4133,0.000992566
4134,0.001666084
4254,0.001661765
4271,0.001165532
4272,0.001000996
4294,0.001326878
4383,0.00150727
4389,0.001488132
4522,0.001312543
4524,0.001002138
4548,0.000824598
4560,0.001176305
4617,0.001001696
4618,0.00149978
4773,0.001179559
4777,0.001168942
4867,0.001176897
4886,0.001499564
5022,0.001173383
5118,0.00100272
5144,0.001175534
5305,0.001300752
5307,0.001488874
5397,0.000822656
5398,0.001486784
5450,0.000989828
5502,0.001176873
5652,0.001481117
5653,0.001177344
5684,0.00116488
5755,0.00081113
5783,0.000823231
5833,0.001176066
5906,0.001315722
5907,0.001492122
5959,0.001313614
5993,0.001490117
6038,0.001177373
6039,0.001176821
6137,0.001175455
6161,0.001679845
6162,0.001656068
6246,0.001491894
6263,0.000823967
6266,0.001499023
6291,0.001677161
6307,0.001665342
6331,0.001163324
6389,0.001325575
6411,0.001179269
6496,0.001169221
6497,0.000824266
6499,0.001163271
6500,0.001179337
6516,0.000825434
6727,0.001499693
6750,0.001165114
6751,0.000811793
6752,0.001487541
6753,0.001502449
6846,0.001183202
6915,0.001179133
7031,0.001487328
7032,0.001177636
7289,0.000824318
7358,0.001677308
7407,0.001325874
7490,0.001501484
7492,0.000824819
7543,0.001172825
7549,0.001149141
7616,0.001163029
7666,0.001165481
7667,0.000980227
7681,0.00150101
7682,0.000811861
7759,0.00117825
7760,0.001164947
7761,0.001322096
7762,0.001003024
7798,0.000812189
7799,0.001680242
7824,0.001177699
7875,0.001500237
8011,0.000824623
8020,0.001176369
8021,0.000813659
8022,0.001501854
8031,0.00149062
8053,0.001168438
8084,0.001003003
8104,0.001501525
8187,0.001668955
8189,0.000824203
8204,0.000822725
8205,0.001001996
8251,0.001155677
8253,0.001178173
8254,0.001163789
8281,0.000809117
8291,0.001002696
8344,0.001162157
8348,0.000830178
8368,0.000824976
8450,0.000989387
8465,0.000812674
8505,0.001675558
8508,0.000989024
8565,0.001665889
8603,0.001177991
8707,0.001161545
8711,0.001301901
8729,0.00117462
8730,0.001175755
8809,0.001136334
8810,0.001325661
8811,0.001175408
8812,0.001003047
8827,0.001155292
8894,0.000803095
8920,0.001174664
8922,0.001311573
8934,0.001666339
8970,0.001177379
8974,0.001184216
8975,0.00132633
8976,0.001002822
8979,0.001176995
8993,0.001502708
8994,0.00082016
8995,0.001500725
9120,0.001474301
9122,0.000831192
9123,0.0008244
9183,0.001486568
9228,0.000825436
9229,0.000825433
9230,0.00117686
9231,0.001176333
9269,0.00132537
9434,0.001679149
9483,0.001151394
9484,0.000991107
9823,0.000824463
9994,0.001502022
10075,0.000990028
10110,0.001680172
10130,0.001001716
10134,0.000824681
10251,0.001163714
10313,0.001484001
10316,0.001490908
10317,0.001163668
10318,0.001176741
10334,0.001655378
10529,0.001325403
10568,0.001489084
10840,0.001502567
10889,0.001662748
10894,0.001002576
10898,0.001487674
11165,0.000810523
11169,0.001175759
11170,0.001177889
11171,0.000824814
11173,0.001488186
11178,0.001679341
11179,0.00131675
11183,0.000825066
11251,0.001002353
11272,0.001675806
11447,0.001164307
11448,0.000810023
11449,0.001176567
11450,0.001337731
11456,0.001501364
11459,0.001177391
11465,0.001176571
11529,0.000797863
11533,0.001163462
11727,0.001162668
11736,0.001487554
11739,0.001176994
11744,0.00131748
11745,0.001156211
12019,0.001466482
12021,0.00166743
12023,0.001325192
12301,0.001000712
12303,0.00081971
12589,0.0011627
12873,0.001165037
13274,0.001665761
13336,0.001002285
13338,0.001327431
13341,0.001153153
13344,0.001163732
13563,0.001163113
13610,0.000824403
13612,0.000824045
13817,0.001505517
13823,0.001178247
13824,0.001490463
13825,0.001313292
13826,0.00166856
13862,0.001327166
13900,0.000824219
13908,0.001499554
13934,0.001163458
13935,0.001328056
13969,0.000811985
14125,0.001178888
14126,0.001501021
14160,0.001491613
14208,0.001163658
14209,0.000823939
14210,0.001652869
14211,0.000812023
14318,0.001313261
14429,0.001001763
14430,0.000988052
14434,0.000809515
14464,0.000823179
14507,0.001167308
14515,0.001176965
14516,0.001677795
14520,0.001327378
14521,0.001002607
14753,0.001177109
14758,0.001497847
14785,0.00082386
14847,0.001665237
14897,0.000813004
14964,0.001487207
15082,0.001306634
15111,0.001666844
15169,0.00100253
15170,0.001001869
15171,0.001314132
15175,0.001677337
15176,0.00115045
15292,0.001002445
15414,0.001679795
15425,0.001473998
15445,0.001490524
15511,0.001176858
15512,0.001668265
15513,0.000824834
15514,0.001177375
15625,0.000825111
15766,0.001651769
16108,0.001677001
16130,0.00148875
16451,0.001499768
16536,0.001003273
16548,0.000989044
16793,0.001487136
16991,0.001489395
17007,0.001316324
17134,0.001678409
17350,0.001177052
17478,0.001488384
17484,0.001500465
17485,0.001485852
17486,0.001668817
17487,0.001496502
17488,0.0015017
17491,0.001500784
17838,0.001002474
18279,0.001331947
18682,0.001176678
18684,0.001177187
18982,0.001002667
19037,0.0014882
19284,0.001003518
19644,0.00099033
19974,0.001176915
20163,0.001163675
20328,0.001491029
20474,0.001477061
20523,0.001676061
20684,0.001475846
21045,0.00117657
21410,0.00098968
21630,0.001326437
22348,0.00148726
22732,0.000799999
22746,0.001002829
23124,0.00081288
23137,0.001176579
23543,0.000824429
24118,0.001326056
24122,0.001679677
24125,0.001311231
24240,0.000811428
24320,0.001679268
24350,0.0008147
24463,0.001176616
24519,0.001327203
24637,0.001298909
24857,0.00082371
24858,0.00116481
24859,0.001317659
24860,0.00116433
24911,0.00148539
24916,0.001175663
25035,0.001325604
25252,0.000985578
25253,0.001311385
25254,0.001177772
25307,0.001485427
25309,0.001496956
25312,0.001499308
25525,0.001667859
25643,0.001178352
25644,0.001300036
25898,0.001001606
25918,0.001487199
26036,0.001175268
26037,0.001164083
26038,0.000825497
26094,0.001153687
26117,0.001501505
26297,0.000825341
27124,0.001168119
27284,0.001174533
27521,0.000803299
28979,0.001178043
28980,0.000821914
30056,0.001479704
30141,0.001177973
30275,0.001184314
30434,0.001501992
30435,0.001485377
30438,0.001506079
30781,0.000826105
31003,0.000811389
31021,0.000811278
31025,0.000823775
31236,0.001500345
31238,0.000810785
31312,0.001654249
31362,0.001500447
31376,0.001486942
31398,0.00117802
31448,0.000826345
31592,0.001312776
31593,0.000824563
31726,0.001177282
31728,0.000825393
31729,0.001665029
31956,0.00117787
32012,0.000810593
32107,0.000824443
32141,0.001489713
32227,0.001487537
32290,0.00147042
32435,0.000810661
32574,0.001008294
32647,0.000797235
32654,0.001003624
32802,0.001502049
32834,0.001001935
32921,0.001177743
32987,0.000979561
32999,0.001326028
33139,0.001149892
33268,0.001176622
33338,0.001327777
33344,0.001175237
33345,0.001487794
33478,0.001505521
33488,0.00116294
33489,0.000812079
33560,0.001664423
33737,0.001003235
33866,0.000825446
33897,0.001317106
34017,0.000824267
34018,0.000824932
34019,0.000976295
34165,0.000976136
34168,0.001301407
34207,0.001002877
34359,0.001285586
34360,0.000824459
34367,0.001176861
34509,0.001162856
34513,0.001488298
34549,0.001488349
34550,0.001002175
34699,0.001166356
34856,0.001687723
35308,0.001467415
35316,0.001327641
35375,0.001325628
35422,0.000812555
35473,0.001485763
35561,0.001175164
35650,0.001501696
35887,0.001487338
36554,0.001316693
36882,0.000811327
37168,0.001501075
38157,0.001150383
38211,0.000824827
38497,0.001684219
38523,0.000824315
38524,0.001326886
38663,0.001151596
38732,0.001314794
38996,0.001664149
39087,0.001001979
39167,0.00116465
39738,0.001316742
39894,0.00147793
40095,0.00082489
40097,0.001168365
40224,0.001476362
40434,0.000991378
40435,0.001002333
40438,0.001312147
40656,0.001476044
40657,0.00129614
40658,0.001177291
40659,0.001301784
40661,0.001312315
40766,0.000811443
40769,0.001175259
40960,0.001486513
40989,0.001167761
40991,0.001311655
40995,0.001490024
41290,0.001486913
41326,0.001177193
41411,0.001163159
41424,0.001000579
41425,0.001507561
41559,0.000813653
41626,0.001663443
41661,0.001176143
41663,0.000815105
41738,0.001175146
41750,0.0011576
41878,0.001164194
41981,0.001678791
42082,0.001165164
42083,0.00100364
42091,0.001166966
42105,0.001177137
42222,0.001177224
42451,0.001501793
42692,0.001667679
42693,0.001316113
42800,0.001485536
43142,0.001168404
43387,0.001002309
43472,0.000825151
43672,0.0011773
43699,0.001674897
44018,0.001125103
44025,0.001177209
44035,0.001000876
44039,0.000825908
44114,0.001178925
44320,0.001678411
44343,0.001488829
44345,0.001166608
44349,0.000814535
44358,0.001176395
44632,0.001665727
44656,0.001680159
44669,0.001462037
44672,0.001177669
44675,0.001165458
44947,0.001500646
44982,0.001177066
44985,0.001165453
45063,0.001313846
45299,0.001176291
45621,0.00166541
45919,0.000815035
46110,0.00117823
46222,0.001002895
46224,0.001499209
46378,0.001679619
46426,0.000990226
46427,0.000823697
46428,0.001482512
46555,0.001679949
46560,0.001683593
46870,0.001679309
46872,0.000824902
46888,0.001489171
47064,0.001665205
47137,0.001007582
47182,0.001164648
47201,0.0011762
47331,0.000811081
47332,0.001177297
47455,0.001500442
47514,0.001326971
47517,0.000811872
47840,0.001176348
47913,0.000823526
47955,0.001001627
48017,0.00132644
48018,0.001486984
48160,0.00100384
48348,0.001150333
48349,0.001176576
48350,0.00148448
48388,0.001677287
48558,0.000824158
48663,0.000824
48674,0.000823423
48675,0.001676677
48797,0.001475173
48882,0.000812985
49003,0.001490749
49004,0.001666163
49129,0.001670129
49324,0.001502795
49325,0.001679331
49326,0.00081087
49327,0.000823542
49338,0.001163437
49339,0.001184057
49340,0.001472325
49341,0.001642179
49457,0.001327471
49666,0.001669162
49669,0.000824516
49671,0.001176056
49672,0.001177181
49674,0.00117613
49675,0.001314369
49676,0.001165257
49794,0.001677464
50003,0.001666029
50007,0.00082437
50008,0.001178733
50009,0.001176289
50012,0.001178303
50013,0.001157544
50014,0.001176094
50016,0.000810657
50018,0.000811697
50020,0.001471627
50026,0.001174825
50027,0.000990726
50352,0.001176287
50355,0.001677744
50356,0.001175663
50357,0.000987844
50360,0.000824525
50361,0.001167167
50383,0.001680554
50598,0.001177362
50704,0.001490926
50705,0.001498063
50706,0.001175783
50707,0.001177907
50709,0.001165885
50710,0.001177539
50713,0.000823957
50730,0.001500559
50796,0.00166549
50799,0.001165248
50941,0.001177303
51052,0.000820115
