cell,mean_prob
367,0.000969813
492,0.000969488
655,0.000767143
749,0.001335708
779,0.001138434
818,0.000764782
1061,0.000765448
1597,0.001335963
1624,0.000968665
1810,0.00113909
1827,0.001336941
1922,0.001139597
2136,0.000967276
2165,0.000766336
2290,0.001338561
2330,0.00076558
2380,0.000766793
2383,0.000968202
2412,0.001336607
2413,0.000767463
2414,0.001335354
2416,0.001333918
2437,0.000970566
2452,0.000966649
2453,0.000767949
2469,0.000969296
2543,0.000968242
2559,0.001336605
2626,0.000967869
2641,0.000969311
2652,0.00096733
2682,0.000968898
2684,0.000968816
2699,0.000967249
2704,0.000766333
2711,0.001333999
2900,0.001139271
2901,0.000968531
2902,0.000969323
2903,0.000968193
2904,0.000967545
2905,0.001139234
2925,0.00076602
2964,0.001335676
2969,0.001138075
2988,0.000766016
3131,0.000766548
3216,0.000967185
3217,0.001336333
3218,0.001322099
3220,0.000968718
3221,0.000969033
3231,0.000969913
3255,0.001336053
3272,0.00097041
3363,0.000767721
3431,0.000767109
3478,0.001325855
3480,0.000967166
3481,0.001137666
3482,0.000968281
3483,0.000969027
3486,0.001337998
3677,0.001338076
3736,0.001138895
3738,0.000968608
3748,0.000969662
3876,0.000750035
4000,0.001138648
4133,0.000967316
4134,0.001335938
4254,0.001335595
4271,0.000969896
4272,0.000969329
4294,0.001138587
4383,0.001334433
4389,0.001336346
4522,0.001138532
4524,0.000968057
4548,0.000766535
4560,0.000968922
4617,0.00096945
4618,0.001336281
4773,0.000954309
4777,0.000968405
4867,0.000969796
4886,0.001336129
5022,0.000967887
5118,0.000954268
5144,0.000969317
5305,0.001140324
5307,0.001337136
5397,0.00076559
5398,0.001334896
5450,0.000969561
5502,0.000968184
5652,0.001335952
5653,0.000968909
5684,0.000968738
5755,0.000766822
5783,0.00076728
5833,0.000968916
5906,0.001138181
5907,0.001336055
5959,0.00113894
5993,0.001336285
6038,0.000968174
6039,0.000968361
6137,0.000968907
6161,0.00133679
6162,0.001336605
6246,0.001336439
6263,0.000766518
6266,0.0013372
6291,0.001337415
6307,0.001334578
6331,0.000968236
6389,0.001136543
6411,0.000967964
6496,0.000968457
6497,0.000766666
6499,0.000967179
6500,0.000952303
6516,0.000766899
6727,0.001336046
6750,0.00096738
6751,0.000767266
6752,0.001335109
6753,0.001338025
6846,0.000967055
6915,0.000969925
7031,0.001336438
7032,0.000968773
7289,0.000767238
7358,0.001338683
7407,0.00113703
7490,0.001336055
7492,0.000763376
7543,0.000967915
7549,0.000967367
7616,0.000968098
7666,0.000969768
7667,0.000969417
7681,0.001336974
7682,0.00073975
7759,0.000968387
7760,0.00096944
7761,0.001139803
7762,0.000968356
7798,0.000766453
7799,0.001336675
7824,0.000965531
7875,0.001336747
8011,0.000764071
8020,0.000968201
8021,0.000767968
8022,0.00133505
8031,0.001336319
8053,0.000970006
8084,0.000967764
8104,0.001320078
8187,0.00133846
8189,0.000765837
8204,0.000765676
8205,0.000966779
8251,0.000966839
8253,0.000968001
8254,0.000967568
8281,0.000766217
8291,0.000968116
8344,0.000970556
8348,0.00076725
8368,0.000767338
8450,0.00096879
8465,0.000765069
8505,0.001335873
8508,0.000968201
8565,0.001338551
8603,0.000968193
8707,0.00096874
8711,0.001125547
8729,0.000967392
8730,0.000968001
8809,0.000966737
8810,0.001122336
8811,0.000957115
8812,0.000967918
8827,0.000968627
8894,0.00076772
8920,0.000967169
8922,0.00113875
8934,0.00133699
8970,0.00096843
8974,0.000969425
8975,0.001139159
8976,0.000967756
8979,0.000969613
8993,0.001333966
8994,0.000756109
8995,0.001336647
9120,0.001321559
9122,0.000765647
9123,0.000766597
9183,0.001336022
9228,0.000755465
9229,0.000767171
9230,0.00096911
9231,0.000968531
9269,0.001139322
9434,0.001338172
9483,0.0009684
9484,0.000969732
9823,0.000765536
9994,0.001322432
10075,0.000969587
10110,0.001335573
10130,0.000968247
10134,0.0007668
10251,0.000967732
10313,0.001334677
10316,0.001337798
10317,0.000967264
10318,0.000964528
10334,0.001334131
10529,0.001139319
10568,0.001334774
10840,0.001337998
10889,0.001336941
10894,0.000967776
10898,0.001319912
11165,0.000765883
11169,0.000967219
11170,0.000967193
11171,0.000767507
11173,0.00133544
11178,0.001337022
11179,0.001137341
11183,0.000768597
11251,0.000967967
11272,0.001334907
11447,0.000969195
11448,0.000766701
11449,0.000968131
11450,0.001137397
11456,0.001335033
11459,0.000968344
11465,0.000968576
11529,0.000767387
11533,0.00096953
11727,0.000968194
11736,0.001336846
11739,0.000969184
11744,0.001139609
11745,0.000969307
12019,0.001337972
12021,0.001335972
12023,0.001139247
12301,0.000968884
12303,0.000767901
12589,0.000969143
12873,0.000968444
13274,0.001336698
13336,0.000967397
13338,0.001138379
13341,0.000969586
13344,0.000969464
13563,0.000968505
13610,0.000765814
13612,0.000765853
13817,0.001336485
13823,0.000969353
13824,0.001334058
13825,0.001138523
13826,0.001334941
13862,0.00113531
13900,0.000765902
13908,0.001333783
13934,0.000967926
13935,0.001138631
13969,0.000767207
14125,0.000957341
14126,0.001337626
14160,0.001337033
14208,0.000967168
14209,0.000765704
14210,0.001336025
14211,0.00076614
14318,0.001136736
14429,0.000968305
14430,0.000969934
14434,0.000766607
14464,0.000764821
14507,0.000968985
14515,0.000967393
14516,0.00133632
14520,0.001136831
14521,0.000968884
14753,0.000969414
14758,0.001336732
14785,0.000766063
14847,0.001338209
14897,0.00076526
14964,0.001337431
15082,0.00113751
15111,0.001335452
15169,0.000967988
15170,0.000968869
15171,0.001137144
15175,0.001335601
15176,0.000965991
15292,0.000967712
15414,0.001337453
15425,0.001336018
15445,0.001340939
15511,0.000969473
15512,0.001335261
15513,0.000768082
15514,0.000967736
15625,0.000765869
15766,0.001334439
16108,0.001322251
16130,0.001345284
16451,0.001337155
16536,0.000954622
16548,0.000968525
16793,0.00133712
16991,0.001321077
17007,0.001138208
17134,0.001335393
17350,0.000969952
17478,0.001334431
17484,0.001335367
17485,0.001336227
17486,0.001336891
17487,0.00133743
17488,0.001325421
17491,0.00133543
17838,0.000967072
18279,0.001138442
18682,0.000968531
18684,0.000969477
18982,0.000968362
19037,0.001334746
19284,0.000969336
19644,0.000952298
19974,0.00096848
20163,0.000969126
20328,0.00133668
20474,0.001335572
20523,0.001333356
20684,0.001335832
21045,0.000967412
21410,0.000968932
21630,0.00112787
22348,0.001335903
22732,0.000766747
22746,0.000966779
23124,0.000766306
23137,0.000967166
23543,0.000766133
24118,0.001138183
24122,0.001336591
24125,0.001138302
24240,0.000766714
24320,0.001336784
24350,0.000766295
24463,0.000968596
24519,0.001123308
24637,0.00113972
24857,0.000767369
24858,0.000969261
24859,0.001138986
24860,0.000968539
24911,0.001337722
24916,0.000954434
25035,0.001137298
25252,0.000966918
25253,0.001138752
25254,0.000969196
25307,0.001336123
25309,0.001320187
25312,0.00133602
25525,0.001335744
25643,0.000967352
25644,0.001138565
25898,0.000970344
25918,0.001318405
26036,0.000968677
26037,0.000967914
26038,0.000767766
26094,0.000969885
26117,0.001336934
26297,0.000765419
27124,0.000966061
27284,0.000968327
27521,0.000766214
28979,0.000967849
28980,0.000764768
30056,0.001336252
30141,0.000966728
30275,0.000969544
30434,0.00133661
30435,0.001335997
30438,0.001335815
30781,0.000766656
31003,0.000751819
31021,0.000766598
31025,0.000767202
31236,0.001337586
31238,0.000765588
31312,0.001322907
31362,0.001337304
31376,0.001335054
31398,0.000968312
31448,0.000765643
31592,0.001136277
31593,0.000766153
31726,0.000967006
31728,0.000767391
31729,0.001344082
31956,0.00096837
32012,0.000766812
32107,0.000766063
32141,0.001335319
32227,0.001335404
32290,0.001334553
32435,0.000767722
32574,0.000968103
32647,0.000766444
32654,0.000968357
32802,0.001320219
32834,0.000954044
