"","a"
"74",0.000485486340754991
"183",0.000355962763201228
"195",0.000683140109957127
"490",0.00035519220957905
"572",0.000356325170741033
"653",0.000355324753608601
"657",0.000504477793388921
"658",0.000682862033549768
"659",0.000504712410602368
"660",0.000485382904345256
"661",0.000504606831161562
"662",0.000352030278219086
"663",0.00050525062732524
"755",0.000355093845133129
"777",0.000355838174443313
"804",0.00050388603632117
"939",0.000355730425933719
"940",0.000355357768258772
"941",0.000355660144830368
"942",0.000356216791042159
"943",0.000355541111973212
"944",0.000355769566784234
"946",0.000355681226435119
"947",0.00035609130378026
"948",0.000355943112591565
"949",0.000683910184635354
"950",0.000684213194738452
"955",0.000684091475708744
"956",0.000683560737728004
"957",0.000685471847163381
"958",0.000683498014481083
"959",0.000684368011726183
"960",0.00068433926907768
"1040",0.000355420616780484
"1046",0.000503971960238901
"1048",0.000504968408862108
"1049",0.000504716700510108
"1052",0.000484561101235334
"1059",0.000336348644917995
"1110",0.000504641594214903
"1219",0.000356088071806074
"1220",0.00035536571158712
"1221",0.000355634672267938
"1222",0.000355592331905241
"1223",0.000355779640330049
"1224",0.000355317601678718
"1225",0.000356081351495789
"1226",0.000355636073268883
"1227",0.00035568119187322
"1229",0.000356277537509052
"1230",0.000356040552799277
"1231",0.00050395937596275
"1232",0.000504312371581043
"1233",0.000503998679475364
"1234",0.000487424553992351
"1235",0.000684350953845722
"1236",0.000682863737661982
"1238",0.000503796710435604
"1239",0.000504183925219233
"1240",0.000504493079887593
"1241",0.000683138975834516
"1242",0.000683692262659957
"1243",0.000684159144421304
"1244",0.000683515152617293
"1245",0.000683380945419509
"1246",0.000504261778965395
"1247",0.000356041221518694
"1249",0.000503751827929599
"1250",0.000504583030856133
"1315",0.000356034605088599
"1321",0.000683503509723674
"1332",0.000503982497195099
"1340",0.000684083686024176
"1445",0.000355136606084414
"1506",0.000502957736767614
"1507",0.000486777295424036
"1508",0.000503416741173737
"1509",0.000504339924036431
"1510",0.000355761554249235
"1511",0.000504291970960956
"1512",0.000355617350317542
"1513",0.000484826712422431
"1514",0.000503781159122808
"1515",0.000503688161141469
"1516",0.000504314120241388
"1517",0.000504370843465213
"1518",0.000486188352076548
"1519",0.000484964102317064
"1520",0.000356030878827107
"1521",0.000490632050168087
"1524",0.000486935392612371
"1525",0.000356483759170566
"1530",0.000684165112780767
"1533",0.000665124495517948
"1601",0.00050411330597689
"1604",0.000684398975459567
"1614",0.0005044752209046
"1615",0.000355641467773965
"1640",0.000356241254275849
"1682",0.000355523105697281
"1778",0.000356710900272474
"1779",0.000500198505193119
"1780",0.000504171629487741
"1781",0.000504813993680058
"1782",0.00050478665080798
"1783",0.000505142895107723
"1784",0.000484602121980786
"1785",0.000491728138834306
"1786",0.000504068190142494
"1790",0.000356139960825206
"1791",0.00050531848223523
"1792",0.000504621477496825
"1793",0.000504070987284911
"1794",0.00050450645614264
"1795",0.000503652620624967
"1796",0.000486421201764606
"1797",0.000504383818137752
"1798",0.000504344043287983
"1799",0.000503763296800991
"1800",0.000483708769888959
"1801",0.000503551978734125
"1802",0.000504446065932588
"1804",0.000504328704048872
"1805",0.000355436891648064
"1811",0.000664923536655799
"1812",0.000683187810745261
"1813",0.000682897844871738
"1814",0.000665285170003269
"1815",0.000684829142948164
"1816",0.000684427793257403
"1828",0.000684266862482105
"1829",0.000683566809598647
"1886",0.000683904662800798
"1895",0.000337539306883922
"1896",0.000683522779776438
"1905",0.000683484527183674
"2056",0.000499365966555252
"2067",0.000355935268277344
"2068",0.000355316275386662
"2069",0.000355042205666375
"2070",0.000356297577007437
"2071",0.0003560413460262
"2072",0.000356373472182876
"2073",0.000487492464605342
"2074",0.000504220604368584
"2075",0.000503978992250365
"2076",0.000356077328336886
"2077",0.000491208276063293
"2078",0.00050369756806644
"2079",0.000338163574160395
"2080",0.000355782340103636
"2081",0.000354973235245971
"2082",0.00035586801788684
"2083",0.000356353613210493
"2089",0.00068281587991598
"2090",0.000684014601518217
"2091",0.000684394728978858
"2092",0.000684487775000519
"2093",0.000683783204348657
"2094",0.00068423691887635
"2095",0.000504961947909073
"2104",0.000684059693782374
"2105",0.000684254418423814
"2109",0.000683113016484411
"2173",0.000355751142221996
"2182",0.000355347075817077
"2199",0.000684447261370858
"2219",0.000683773610520181
"2281",0.000684177882809599
"2289",0.000683561082082563
"2329",0.000504746417987814
"2331",0.000356158315856996
"2351",0.000355265911728202
"2352",0.000355109034283764
"2353",0.000355697387292056
"2355",0.000355809501481091
"2359",0.000355507117110832
"2360",0.000355744309313134
"2361",0.000503964763598099
"2363",0.000682668140144944
"2364",0.000683071396987118
"2365",0.000676187520985974
"2366",0.000683441098503684
"2367",0.000665877682391336
"2379",0.000683776826800672
"2382",0.00068334996899012
"2385",0.00068343301998719
"2387",0.000503538602614636
"2444",0.000504389476947704
"2558",0.000680485632649734
