"","a"
"185",0.000372696445193222
"194",0.000365730397766328
"196",0.000396369063615421
"197",0.000388493714321684
"304",0.000384778278674232
"364",0.000370271398130482
"460",0.000378118698126989
"461",0.000358461707451182
"462",0.000354214883381149
"463",0.000373552781203932
"479",0.000352825765433658
"484",0.000369569100626732
"485",0.000384891519703615
"486",0.00036347980294191
"487",0.000350145547904843
"489",0.000399073769589086
"656",0.000410645916076504
"664",0.000369475811542774
"751",0.000381693582750384
"754",0.000384052891835337
"770",0.0003546678512523
"771",0.000380576263314504
"773",0.000393237854936613
"774",0.00038446985772037
"775",0.000341488843829935
"776",0.000387508005392349
"816",0.000381646987266642
"830",0.000399327619368143
"831",0.000358500022779859
"945",0.00038535431400847
"1035",0.000359665614171579
"1039",0.000352328405500648
"1053",0.000400517289812617
"1054",0.000357797043098956
"1057",0.000370108205534186
"1084",0.00036345231506478
"1111",0.00039653846001121
"1218",0.000388067968519459
"1228",0.00038444495790148
"1237",0.000369099534199867
"1248",0.000399495499736983
"1316",0.000380939896263302
"1319",0.000357975377680753
"1320",0.000348545101856017
"1333",0.000410876893123632
"1334",0.000387676481006365
"1338",0.000411454803796834
"1339",0.000369988041828055
"1359",0.000369249724760162
"1494",0.000354421343258859
"1497",0.0003691073652717
"1498",0.000384763874186702
"1499",0.000383025818169398
"1500",0.000395778960772667
"1501",0.000369647128661124
"1502",0.000410544163918713
"1503",0.000380819209391547
"1504",0.000379008656086134
"1505",0.000385062105777248
"1522",0.000369086757432641
"1523",0.000399809962484867
"1526",0.000379677807307362
"1527",0.00038154256216164
"1528",0.000388538267222544
"1529",0.000361695116309836
"1599",0.000380526333713231
"1602",0.000369480554500843
"1603",0.000395665636450403
"1622",0.000348191249988876
"1623",0.000373771051088497
"1641",0.000380891057495078
"1777",0.000411031817739791
"1787",0.000384474924539994
"1788",0.000387764507479067
"1789",0.000391696936496279
"1803",0.000371033753514778
"1806",0.000384917814195489
"1807",0.00039587852604475
"1808",0.000396851057879369
"1809",0.000410875397286649
"1884",0.000380699408183347
"1897",0.000388266512810824
"1903",0.000356695637554868
"2059",0.000385003610259787
"2060",0.000368153459694064
"2061",0.000358181294296806
"2062",0.00035770889755763
"2063",0.000384075331892566
"2064",0.000383322182367915
"2065",0.000384293040298212
"2066",0.000388225460948772
"2086",0.000373283993711836
"2087",0.000382680230655065
"2088",0.000354862691977405
"2096",0.000411630746727705
"2174",0.000384841830260812
"2180",0.000398828755195796
"2181",0.000377231032009337
"2200",0.000384507508211736
"2343",0.000384816585584696
"2344",0.000373149926632535
"2345",0.000363520796151441
"2346",0.000410945837952924
"2347",0.000384667375507141
"2348",0.000363303945910813
"2349",0.000396432260335223
"2350",0.000367044593035773
"2354",0.000412480426630977
"2356",0.000411518998605566
"2357",0.000392471817800958
"2358",0.000370486487946215
"2362",0.000380891517804857
"2445",0.000381080377517393
"2450",0.000411906302677885
"2451",0.000383761501482706
"2471",0.000381161240997084
"2599",0.0003729228796434
"2605",0.00041093686552857
