"","(E_lengths - CUFA_nomin_lengths)/E_lengths * 100"
"43",28.5714285714286
"72",20
"98",16.6666666666667
"186",28.5714285714286
"246",0
"270",30
"275",0
"366",22.2222222222222
"370",28.5714285714286
"374",0
"454",28.5714285714286
"461",25
"489",28.5714285714286
"549",22.2222222222222
"556",20
"560",20
"565",0
"575",20
"625",20
"645",20
"653",20
"746",28.5714285714286
"763",28.5714285714286
"783",28.5714285714286
"857",0
"858",20
"938",20
"952",20
"960",0
"963",0
"967",20
"968",0
"1022",25
"1062",0
"1105",0
"1110",25
"1144",20
"1185",20
"1207",20
"1214",20
"1298",22.2222222222222
"1312",20
"1386",22.2222222222222
"1388",22.2222222222222
"1397",30
"1462",20
"1468",0
"1583",28.5714285714286
"1584",28.5714285714286
"1589",0
"1681",28.5714285714286
"1707",30
"1813",25
"1819",20
"1846",20
"1876",22.2222222222222
"2008",20
"2018",0
"2064",0
"2066",22.2222222222222
"2071",0
"2091",20
"2103",16.6666666666667
"2161",20
"2181",20
"2198",20
"2199",20
"2233",0
"2258",16.6666666666667
"2260",30
"2261",25
"2262",28.5714285714286
"2283",20
"2284",20
"2285",16.6666666666667
"2295",20
"2310",20
"2337",28.5714285714286
"2350",20
"2355",0
"2380",20
"2394",20
"2395",20
"2396",28.5714285714286
"2397",22.2222222222222
"2454",0
"2465",20
"2475",22.2222222222222
"2492",20
"2545",28.5714285714286
"2574",20
"2589",16.6666666666667
"2590",20
"2627",20
"2652",20
"2674",30
"2686",28.5714285714286
"2687",16.6666666666667
"2694",20
"2698",20
"2728",0
"2778",0
"2779",20
"2789",30
"2796",20
"2797",22.2222222222222
"2811",20
"2883",20
"2899",28.5714285714286
"2900",28.5714285714286
"2901",20
"2904",20
"2956",0
"2970",20
"2971",25
"2989",22.2222222222222
"2991",30
"3006",25
"3007",30
"3010",28.5714285714286
"3103",16.6666666666667
"3121",0
"3214",20
"3237",28.5714285714286
"3242",0
"3266",0
"3293",0
"3295",30
"3313",20
"3348",22.2222222222222
"3360",20
"3361",25
"3408",28.5714285714286
"3411",0
"3431",28.5714285714286
"3435",0
"3440",22.2222222222222
"3441",28.5714285714286
"3471",20
"3480",20
"3537",20
"3554",28.5714285714286
"3583",20
"3635",20
"3669",20
"3771",16.6666666666667
"3778",20
"3783",20
"3931",20
"4046",22.2222222222222
"4102",0
"4130",28.5714285714286
"4161",22.2222222222222
"4162",22.2222222222222
"4165",22.2222222222222
"4215",22.2222222222222
"4219",20
"4242",20
"4280",28.5714285714286
"4286",28.5714285714286
"4369",22.2222222222222
"4370",22.2222222222222
"4431",20
"4439",0
"4455",22.2222222222222
"4551",20
"4651",0
"4658",30
"4766",0
"4777",28.5714285714286
"4800",30
"4843",20
"4894",0
"4923",20
"4927",0
"4941",20
"5179",28.5714285714286
"5284",0
"5313",28.5714285714286
"5323",0
"5442",20
"5555",30
"5570",20
"5694",22.2222222222222
"5695",22.2222222222222
"5701",16.6666666666667
"5826",16.6666666666667
"5828",20
"5854",20
"6213",22.2222222222222
"6395",0
"6528",20
"6741",0
"7140",30
"7196",22.2222222222222
"7590",22.2222222222222
"7599",25
"7600",28.5714285714286
"7601",16.6666666666667
"7728",16.6666666666667
"7729",20
"7730",28.5714285714286
"7731",20
"7732",20
"7733",20
"7734",22.2222222222222
"7792",28.5714285714286
"7858",25
"7864",0
"7865",30
"7929",20
"7996",22.2222222222222
"8003",22.2222222222222
"8122",28.5714285714286
"8127",28.5714285714286
"8130",28.5714285714286
"8194",20
"8248",30
"8261",28.5714285714286
"8263",28.5714285714286
"8314",20
"8396",0
"8397",0
"8404",0
"8443",0
"8583",22.2222222222222
"8654",0
"8715",22.2222222222222
"8796",22.2222222222222
"8927",20
"8934",25
"9007",0
"9063",28.5714285714286
"9093",20
"9094",0
"9095",20
"9122",20
"9229",20
"9230",20
"9255",20
"9361",0
"9364",28.5714285714286
"9417",0
"9423",28.5714285714286
"9426",0
"9427",0
"9432",0
"9487",25
"9498",0
"9499",22.2222222222222
"9501",28.5714285714286
"9524",0
"9590",28.5714285714286
"9622",20
"9626",20
"9633",20
"9761",20
"9780",0
"9921",22.2222222222222
"10176",16.6666666666667
"10177",28.5714285714286
"10236",20
"10276",25
"10277",22.2222222222222
"10280",0
"10308",16.6666666666667
"10492",22.2222222222222
"10579",25
"10612",28.5714285714286
"10613",20
"10615",28.5714285714286
"10624",28.5714285714286
"10626",28.5714285714286
"10628",0
"10631",28.5714285714286
"10693",25
"10702",28.5714285714286
"10707",0
"10708",22.2222222222222
"10709",20
"10711",0
"10748",28.5714285714286
"10749",30
"10757",22.2222222222222
"10759",22.2222222222222
"10761",20
"10840",20
"10845",20
"10889",20
"10892",0
"10894",0
"10896",0
"10962",20
"10964",22.2222222222222
"10967",20
"11018",20
"11030",20
"11048",28.5714285714286
"11103",20
"11146",16.6666666666667
"11147",22.2222222222222
"11160",20
"11215",20
"11225",0
"11226",0
"11274",20
"11340",22.2222222222222
"11396",30
"11453",0
"11455",20
"11459",0
"11519",20
"11577",28.5714285714286
"11582",0
"11610",30
"11644",0
"11700",16.6666666666667
"11701",28.5714285714286
"11704",0
"11705",20
"11791",25
"11795",16.6666666666667
"11851",20
"11856",28.5714285714286
"11943",0
"11965",30
"12022",0
"12023",20
"12037",20
"12062",22.2222222222222
"12066",16.6666666666667
"12144",28.5714285714286
"12145",16.6666666666667
"12181",28.5714285714286
"12302",20
"12330",28.5714285714286
"12422",22.2222222222222
"12577",20
"12743",20
"12825",20
"13048",22.2222222222222
"13049",20
"13051",22.2222222222222
"13056",22.2222222222222
"13207",28.5714285714286
"13431",0
"13432",30
"13580",20
"13582",20
"13585",0
"13639",20
"13670",28.5714285714286
"13682",22.2222222222222
"13766",0
"13799",30
"13810",0
"13825",22.2222222222222
"13831",22.2222222222222
"13833",20
"13924",20
"13925",28.5714285714286
"13926",30
"13934",0
"13941",28.5714285714286
"13946",20
"13958",20
"13962",28.5714285714286
"14049",0
"14051",20
